"Subject"	"mapping"	"Condition"	"Trial"	"TrialType"	"CueType"	"ProbeType"	"feedduration"	"Probe.ACC"	"Probe.RT"	"race"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	500	1	396	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace3.bmp"	"WEAPON3.bmp"	500	1	484	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL4.bmp"	500	1	372	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	1000	1	571	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON4.bmp"	1000	1	503	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON3.bmp"	500	1	419	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	500	1	475	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL4.bmp"	1000	1	507	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace4.bmp"	"WEAPON2.bmp"	500	1	358	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	0	414	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace3.bmp"	"WEAPON4.bmp"	500	1	478	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON1.bmp"	500	0	390	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL2.bmp"	500	0	407	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL3.bmp"	500	1	439	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace1.bmp"	"TOOL1.bmp"	1000	1	543	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	1	338	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	0	274	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace4.bmp"	"WEAPON3.bmp"	1000	1	546	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	1	428	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	1000	1	508	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON1.bmp"	500	1	360	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL3.bmp"	500	1	368	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	1000	1	560	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL4.bmp"	500	1	436	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL3.bmp"	500	1	476	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	500	1	316	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON3.bmp"	500	0	444	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	492	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	1	467	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace3.bmp"	"WEAPON1.bmp"	500	1	419	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	1	483	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	1	379	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON3.bmp"	500	1	410	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	500	0	362	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL4.bmp"	1000	1	514	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	293	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL4.bmp"	500	1	422	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace4.bmp"	"WEAPON3.bmp"	500	1	494	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL3.bmp"	500	1	422	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON1.bmp"	500	1	382	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL2.bmp"	500	1	470	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON3.bmp"	500	1	454	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	1	486	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	1000	1	510	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	500	1	497	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace1.bmp"	"WEAPON4.bmp"	500	1	385	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace2.bmp"	"TOOL1.bmp"	1000	1	514	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL4.bmp"	500	1	486	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace4.bmp"	"WEAPON1.bmp"	500	1	485	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	500	1	469	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	1	415	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace4.bmp"	"WEAPON3.bmp"	500	1	439	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL4.bmp"	500	1	447	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON4.bmp"	500	1	415	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	1	359	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace3.bmp"	"WEAPON2.bmp"	500	1	303	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL1.bmp"	500	1	455	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace4.bmp"	"WEAPON2.bmp"	500	1	455	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace1.bmp"	"TOOL2.bmp"	1000	0	0	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL2.bmp"	1000	0	0	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	1	438	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	318	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace2.bmp"	"WEAPON3.bmp"	500	1	390	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL4.bmp"	500	0	301	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	1000	1	549	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace3.bmp"	"WEAPON1.bmp"	500	1	377	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	1000	1	553	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON1.bmp"	500	1	412	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL2.bmp"	500	1	420	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON2.bmp"	500	1	364	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	500	1	388	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL4.bmp"	500	0	420	"white"
9	"RightGun"	"BlackHisp"	2	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	1	388	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	1	348	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	1000	1	540	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL1.bmp"	500	1	303	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL4.bmp"	500	0	303	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	1	207	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	500	0	374	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace1.bmp"	"TOOL2.bmp"	500	1	478	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	406	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL4.bmp"	500	1	430	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON2.bmp"	1000	1	554	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	500	1	357	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace1.bmp"	"WEAPON3.bmp"	500	0	349	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL2.bmp"	500	1	437	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL3.bmp"	1000	1	621	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	0	401	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON2.bmp"	500	1	425	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL4.bmp"	500	1	401	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON1.bmp"	500	1	409	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	1000	1	511	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON4.bmp"	500	1	427	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON3.bmp"	500	1	395	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON3.bmp"	500	1	403	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON2.bmp"	500	1	395	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	283	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	0	251	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON1.bmp"	500	0	363	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON4.bmp"	500	1	363	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace1.bmp"	"WEAPON1.bmp"	500	1	267	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL4.bmp"	500	0	275	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace4.bmp"	"TOOL3.bmp"	500	1	259	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON3.bmp"	500	0	355	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON2.bmp"	500	1	163	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON1.bmp"	500	1	251	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON3.bmp"	500	1	347	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace2.bmp"	"TOOL1.bmp"	500	0	234	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	1	250	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON4.bmp"	500	1	266	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL4.bmp"	500	0	314	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace3.bmp"	"TOOL3.bmp"	500	1	298	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	1	322	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL2.bmp"	500	0	282	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	500	0	409	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL3.bmp"	500	1	409	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	0	281	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON3.bmp"	500	1	297	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace3.bmp"	"TOOL4.bmp"	500	0	257	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace4.bmp"	"WEAPON2.bmp"	500	1	431	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace2.bmp"	"TOOL2.bmp"	500	0	319	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL2.bmp"	500	1	375	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL4.bmp"	500	1	367	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	0	159	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON3.bmp"	500	1	303	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	0	287	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace4.bmp"	"WEAPON2.bmp"	500	1	383	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON1.bmp"	500	0	287	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	500	1	311	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL1.bmp"	500	1	303	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	1000	1	663	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON1.bmp"	500	1	315	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	1	379	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	500	1	259	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace4.bmp"	"WEAPON3.bmp"	500	1	291	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL2.bmp"	500	0	322	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	500	0	434	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON4.bmp"	500	1	418	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	1	410	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	500	0	290	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL4.bmp"	500	0	130	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL1.bmp"	1000	1	530	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON1.bmp"	500	1	334	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	500	1	254	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	1	430	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL3.bmp"	500	1	478	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL4.bmp"	500	1	484	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	0	244	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON2.bmp"	500	1	292	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL3.bmp"	500	0	260	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace1.bmp"	"TOOL4.bmp"	500	1	371	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	1	467	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	1	419	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	500	0	347	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON1.bmp"	500	1	396	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	1	284	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	500	0	316	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL4.bmp"	500	1	316	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	500	1	332	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace3.bmp"	"TOOL1.bmp"	500	1	308	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace1.bmp"	"WEAPON4.bmp"	500	0	236	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace2.bmp"	"TOOL2.bmp"	500	1	460	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL1.bmp"	1000	1	500	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace4.bmp"	"WEAPON1.bmp"	500	1	311	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON4.bmp"	500	1	344	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL3.bmp"	500	0	288	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace3.bmp"	"TOOL4.bmp"	500	1	311	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON2.bmp"	500	1	247	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL2.bmp"	500	1	479	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	500	0	311	"white"
9	"RightGun"	"BlackHisp"	3	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	1	455	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace2.bmp"	"WEAPON3.bmp"	500	0	359	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace4.bmp"	"WEAPON4.bmp"	1000	1	607	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace1.bmp"	"WEAPON1.bmp"	500	1	482	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace2.bmp"	"TOOL4.bmp"	500	1	394	"white"
9	"RightGun"	"BlackHisp"	3	"HispGun"	"hispFace3.bmp"	"WEAPON2.bmp"	500	1	379	"white"
9	"RightGun"	"BlackHisp"	3	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	1	339	"white"
9	"RightGun"	"BlackHisp"	3	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	1	459	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace1.bmp"	"WEAPON4.bmp"	500	1	439	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	1	415	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	1	446	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	500	0	310	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	500	1	478	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace4.bmp"	"WEAPON3.bmp"	500	1	366	"white"
9	"RightGun"	"BlackHisp"	4	"BlackGun"	"BlackFace1.bmp"	"WEAPON2.bmp"	500	0	310	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace4.bmp"	"TOOL4.bmp"	500	0	286	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace1.bmp"	"WEAPON4.bmp"	500	1	454	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace2.bmp"	"WEAPON3.bmp"	500	1	326	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace3.bmp"	"TOOL3.bmp"	500	1	430	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	0	294	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace1.bmp"	"WEAPON1.bmp"	500	1	390	"white"
9	"RightGun"	"BlackHisp"	4	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	500	1	246	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace2.bmp"	"TOOL4.bmp"	500	0	342	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace3.bmp"	"TOOL2.bmp"	500	1	494	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace4.bmp"	"TOOL1.bmp"	500	0	334	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	1000	1	510	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace1.bmp"	"TOOL3.bmp"	500	0	321	"white"
9	"RightGun"	"BlackHisp"	4	"BlackGun"	"BlackFace3.bmp"	"WEAPON3.bmp"	500	0	281	"white"
9	"RightGun"	"BlackHisp"	4	"BlackGun"	"BlackFace2.bmp"	"WEAPON2.bmp"	500	1	321	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace1.bmp"	"TOOL4.bmp"	500	1	449	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace4.bmp"	"TOOL4.bmp"	500	1	465	"white"
9	"RightGun"	"BlackHisp"	4	"HispTool"	"hispFace1.bmp"	"TOOL2.bmp"	500	1	481	"white"
9	"RightGun"	"BlackHisp"	4	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	1	401	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace3.bmp"	"TOOL3.bmp"	500	1	321	"white"
9	"RightGun"	"BlackHisp"	4	"BlackGun"	"BlackFace3.bmp"	"WEAPON4.bmp"	500	1	313	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	500	0	369	"white"
9	"RightGun"	"BlackHisp"	4	"BlackTool"	"BlackFace1.bmp"	"TOOL1.bmp"	1000	1	529	"white"
